Task Name,Description,Status,Priority,Tags,Story Points,Area,Surface,Dependencies,List
R1.1 — Sequence CRUD + step builder API,"Full CRUD for sequences and sequence_steps: create/update/delete a sequence, add/reorder/remove steps (email/linkedin/wait/task), set delayDays, subject, bodyTemplate. AC: CRUD endpoints workspace-scoped; reorder keeps step order unique and contiguous; body templates support validated merge tokens; status lifecycle draft to active to paused to archived.",to do,High,"outreach,backend",5,outreach,backend,none,R1 — Outreach: Sequences engine
R1.2 — Enrollment + scheduler (delays & branching),"Back POST /sequences/:id/enroll with real scheduling: create enrollments, materialize enrollment steps with scheduledAt from delayDays; worker advances enrollments. AC: enroll creates per-step schedule; scheduler executes due steps in business-hours window; reply/bounce/meeting branching forks or stops cadence; idempotent and retryable; duplicate enroll rejected.",to do,High,"outreach,backend",13,outreach,backend,"R1.1; R3.x",R1 — Outreach: Sequences engine
R1.3 — Email send + tracking (open/click/reply),"Wire step execution to actual email send via a connected sending inbox; inject open/click tracking and link rewrites. AC: email steps send through rotated inbox; open/click events attributed to enrollment and step; unsubscribe and suppression honored before send.",to do,High,"outreach,backend",8,outreach,backend,"R1.2; R3.2",R1 — Outreach: Sequences engine
"R1.4 — Sequences frontend (builder, enroll, analytics)","UI to build cadences (drag-reorder steps), enroll lists/prospects, and view per-sequence analytics. AC: visual step builder with delay and channel; enroll from list or prospect detail with live status; per-step funnel metrics displayed.",to do,Normal,"outreach,frontend",8,outreach,frontend,"R1.1; R1.2; R1.3",R1 — Outreach: Sequences engine
R2.1 — Inbound email ingestion + thread model,"Ingest replies from connected inboxes (IMAP/Gmail/Outlook or webhook), thread by message-id/references, link to enrollment and prospect. AC: replies create/append threads and messages linked to prospect and sequence; bounces and auto-replies classified separately; human reply pauses active sequence.",to do,Normal,"outreach,backend",8,outreach,backend,R3.1,R2 — Outreach: Unified inbox
R2.2 — Conversation state machine,"Track thread state (new to replied to bounced to meeting_booked to closed) and surface unread counts per workspace. AC: state transitions recorded with timestamps; unread badge counts correct; optional AI-assisted sentiment/intent tag on reply.",to do,Normal,"outreach,backend",5,outreach,backend,R2.1,R2 — Outreach: Unified inbox
R2.3 — Unified inbox UI,"Thread list and conversation view; reply inline; shows linked prospect, sequence, and score context. AC: GET /inbox/threads returns real threads with pagination and filters; reply sends through the thread inbox; prospect/sequence context panel beside conversation.",to do,Normal,"outreach,frontend",8,outreach,frontend,"R2.1; R2.2",R2 — Outreach: Unified inbox
R3.1 — Sending inbox connect (OAuth + SMTP/IMAP),"Connect Google/Microsoft mailboxes via OAuth and generic SMTP/IMAP; store encrypted tokens; per-inbox daily send caps. AC: GET /inboxes lists connected inboxes with health and cap usage; tokens encrypted at rest (AES-256-GCM); test-send verifies inbox before activation.",to do,High,"outreach,infra,backend",8,outreach,backend,none,R3 — Outreach: Deliverability
R3.2 — Inbox rotation + send throttling,"Rotate sends across healthy inboxes, throttle per inbox/day, back off on bounce spikes. AC: round-robin/weighted rotation respects caps; auto-pause an inbox when bounce/spam rate exceeds threshold.",to do,High,"outreach,backend",5,outreach,backend,R3.1,R3 — Outreach: Deliverability
R3.3 — Domain warmup + monitoring,"Sending-domain registration, SPF/DKIM/DMARC checks, gradual warmup ramp, bounce/spam/blacklist monitoring. AC: GET /domains returns DNS-record health; warmup ramps daily volume on a schedule; blacklist/spam alerts per domain.",to do,Normal,"outreach,infra,backend",8,outreach,backend,R3.1,R3 — Outreach: Deliverability
R3.4 — Deliverability frontend,"UI to connect inboxes, view domain DNS health, and monitor warmup and bounce metrics. AC: connect-inbox flow with per-inbox health cards; domain DNS checklist with copy-paste records; warmup and bounce/spam charts.",to do,Normal,"outreach,frontend",5,outreach,frontend,"R3.1; R3.2; R3.3",R3 — Outreach: Deliverability
R4.1 — Draft review status + actions,"Add review state to ai_drafts (pending to approved to rejected to edited); endpoints to approve/reject/edit before a draft is used in a sequence step. AC: GET /ai/drafts supports status filter and pagination; approve/reject/edit audit-logged; only approved drafts are sendable.",to do,High,"outreach,ai,backend",3,ai,backend,none,R4 — Outreach: AI review queue
R4.2 — AI review queue UI,"Reviewer screen: queued drafts with prospect context, inline edit, approve/reject, bulk approve. AC: queue lists pending drafts with prospect and score context; inline edit and bulk actions; approved drafts flow into sequence enrollment.",to do,High,"outreach,frontend",5,outreach,frontend,R4.1,R4 — Outreach: AI review queue
R5.1 — LLM scoring as default (explainable),"Make /v1/score LLM-first with heuristic fallback; return structured reasoning per dimension. AC: LLM path default when OPENAI_API_KEY set with heuristic fallback on error/timeout; source=llm with per-dimension explanation; latency/cost budget respected via input caching.",to do,Normal,"ai,ai-service",8,ai,ai-service,none,R5 — AI layer deepening
R5.2 — Real intent classification model,"Replace hardcoded /v1/classify with a real intent model over signals, firmographics, job posts; typed intent with rationale and HITL gating. AC: /v1/classify returns model-derived intent and confidence; feeds intentScore and outreach readiness; low-confidence flagged for review.",to do,Normal,"ai,ai-service",8,ai,ai-service,"R5.1; R6.2",R5 — AI layer deepening
R5.3 — First-class pain-point surfacing,"Promote LLM pain-points from personalize-only to a stored, typed field surfaced on prospect detail. AC: pain points constrained to a typed enum and stored on prospect/activation; shown on prospect detail with source rationale.",to do,Normal,"ai,backend",5,ai,backend,R5.1,R5 — AI layer deepening
R5.4 — Auto re-score on ICP change + corpus write-back,"When workspace_icp changes, enqueue a batch re-score of stored prospects; write icp_score back to OpenSearch and prospect_scores. AC: ICP version bump triggers credit-aware batch re-score job; scores written back to OpenSearch and prospect_scores; job progress pollable with disable toggle.",to do,Normal,"ai,backend",8,ai,backend,R5.1,R5 — AI layer deepening
R6.1 — Deploy scraper workers to ECS,"Deploy orchestrator/cleaner/ingestor as ECS services (ECR repos exist); wire Redis/OpenSearch/S3 env, health checks, autoscaling. AC: three services deployed and healthy in dev with CloudWatch logs/metrics; end-to-end job runs in the deployed environment.",to do,Normal,"corpus,infra",8,corpus,infra,none,R6 — Corpus pipeline maturation
"R6.2 — Orchestrator hardening (rate limit, retry, DLQ)","Add Redis token-bucket rate limiting, exponential backoff, and a dead-letter queue to the orchestrator. AC: per-source rate limit configurable with 429 circuit breaker; failed jobs land in DLQ with reason and are retryable.",to do,Normal,"corpus,backend",5,corpus,backend,R6.1,R6 — Corpus pipeline maturation
